"Empresa compra","Empresa Vende","Año","Mes","Energía Punta","Energía Valle","Energía Noche","Potencia Compra Punta","Potencia Compra Valle","Potencia Compra Noche","Energía Peaje","Tipo","Importe kwh Punta","Importe kwh Valle","Importe kwh Noche","Importe kw Punta","Importe kw Valle","Importe kw Noche","Importe Peaje","Importe Ajustes","Importe Total","Costos CVG","Energía Fuera Punta","Energía kwh Fuera Punta","Planta","Importe kw Fuera Punta","Potencia Fuera Punta","Impuesto IVA"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Inversiones Eólicas de Orosí Dos S. A. ","2025","Febrero   ","3625139.32","10453726.87","10866798","","","","","523.29","248506888.792","716613326.144","744929762.077","","","","","","1710049977.013","","","","OROSÍ","","","222306497.012"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","El Ángel S.A.","2025","Febrero   ","358020.611","1066906.437","66398.335","","","","","523.29","60045228.085","178935620.885","6681575.957","","","","","","245662424.928","","","","AMPLIACIÓN EL ÁNGEL","","","31936115.241"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","AEROENERGIA S.A.","2025","Febrero   ","632547.19","1908150.92","1990110.87","","","","","523.29","40084780.468","120920323.316","126114159.688","","","","","","287119263.472","","","","VIENTOS DEL ESTE","","","37325504.251"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","FILA DE MOGOTE D.C.R. SRL","2025","Febrero   ","1556269.586","4594851.412","4655280.013","","","","","523.29","98621455.723","291177659.204","295007044.986","","","","","","684806159.912","","","","P.E FILA DE MOGOTE","","","89024800.789"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Inversiones Eólicas Guanacaste S.A. ","2025","Febrero   ","1773785.03","4827730.65","4943667.2","","","","","523.29","112776781.555","306945833.298","314317053.225","","","","","","734039668.079","","","","P.E ALTAMIRA","","","95425156.85"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","INVERSIONES EÓLICAS CAMPOS AZULES S.A.","2025","Febrero   ","1644193.11","4230324.21","4524500.87","","","","","523.29","104537360.723","268962891.443","287666568.569","","","","","","661166820.736","","","","P.E CAMPOS AZULES","","","85951686.696"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","P. H .CHUCÁS  S.A.","2025","Febrero   ","10258868.572","","","","","","","523.29","450513051.083","","","307345270.647","","","","","757858321.73","","","","CHUCÁS","","","98521581.825"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Costa Rica Energy Holding S.A.","2025","Febrero   ","1376836.54","3640501.96","3683900.18","","","","","523.29","87538902.556","231462150.857","234221396.232","","","","","","553222449.645","","","","P.E VIENTOS DE MIRAMAR","","","71918918.454"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Vientos del Volcán S.A.","2025","Febrero   ","1490401.42","3913042.57","4046710.44","","","","","523.29","94759326.003","248790208.464","257288778.203","","","","","","600838312.67","","","","P.E VIENTOS DE LA PERLA","","","78108980.647"
"COOPERATIVA DE ELECTRIFICACION RURAL DE GUANACASTE R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Febrero   ","","","","","","","","","","","","","","","","","","","","","SAN LORENZO","","",""
